Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-04-23,Sinners,2025,https://boxd.it/9uCZ8t,4.5,,"I haven't felt this way about a movie, during the movie, for a long time. Probably since Dune Part 2. Grinning from ear to ear at parts, edge of my seat at others. Ryan Coogler has cooked this to perfection. I don't know what else to say.

Expecting to bump this to a 10/10 if (when) I rewatch.","dad, the light redhill",2025-04-22
2025-04-24,Tron,1982,https://boxd.it/9vaRo7,2,,"Very light on story. Presumably because this was really mainly a demo for showing off some (pretty cool) tech.

<i><b>Tron</b></i> walked (stumbled...) so <i><b>Tron: Legacy</b></i> could run :)

Can't wait to see what <i><b>Ares</b></i> is like!","dad, plex",2025-04-23
2025-05-06,Thunderbolts*,2025,https://boxd.it/9C6MzJ,2.5,,"Hard to compare to anything else Marvel has put out recently because I've intentionally been avoiding it. It's not bad. It's not great but it's not bad. Maybe that's as good as we'll get from Marvel for the time being? And then maybe it'll start to become good again? That'd be great.

I felt a huge pang of nostalgia when Bucky rode in and Winter Soldiered all over the place. That was the peak, classic MCU I used to love.","curzon camden, julia",2025-05-05
2025-05-09,Stardust,2007,https://boxd.it/9E6DkX,4,,"A classic from my childhood, and it'll always have a place in my heart.

Genuinely think this is a great, standalone fantasy movie, and the message about love requiring no exchange except your hearts is simply beautiful.","julia, plex",2025-05-08
2025-05-29,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/9POdPd,3.5,Yes,"Definitely not as good as <i>Fallout</i> or <i>Ghost Protocol</i>, but that doesn't stop it from trying! Full of some incredible stunts and sequences, and I thought the 2h44m runtime absolutely <i>flew</i> by.

I think the story takes a major backseat in this movie, potentially to highlight the action even more, but I don't think that makes it any worse of a movie.",plex,2025-05-28
2025-05-30,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9QqlNZ,3.5,,"Just gotta get through that first act, with all its exposition and flashbacks and ""previously on"" explainers because, once you're through, there's an extremely fun action movie waiting on the other side, full of amazing stunt set pieces and quintessential Mission Impossible drama and peril.

If I had to criticise one thing...if I <i>had</i> to...it would be that perhaps there were one too many doohickeys, thingamajigs, and whatchamacallits that needed to be connected, synced, and hooked together before they could defeat The Entity. Imagine if they'd forgotten their USB adapter!","picturehouse central, tom",2025-05-29
2025-06-19,Love & Mercy,2014,https://boxd.it/a3bpR9,4,,"Paul Giamatti, you have such a slappable face!","julia, iplayer",2025-06-19
2025-06-20,A Nice Indian Boy,2024,https://boxd.it/a3uT5H,3,,"I'm sorry, this rating is a me problem.",julia,2025-06-19
2025-06-25,28 Weeks Later,2007,https://boxd.it/a6PvTR,2,,"Think this movie's a bit pointless, really.

It exists solely to serve up bland army-zombie shoot-em-up slop and does nothing to further the story from <i>28 Days </i>or put forward its own, different message.

I don't even like this franchise that much but I thought I'd give it a watch in preparation for seeing <i>28 Years</i> later this week. What a waste of my time!",netflix,2025-06-24
2025-06-26,F1,2025,https://boxd.it/a7QeSt,3.5,,"Succeeds where real F1 fails because a real F1 race could never be this exciting to watch.

I hope I look half as good as Brad Pitt does when <i>I'm</i> 61.",curzon camden,2025-06-26
2025-06-28,28 Years Later,2025,https://boxd.it/a8xTMx,4,,"A fever dream of a movie in the best way. The choppy, frenetic editing and hyper-saturated look has only grown on me since I left the cinema.

Those same aspects definitely made it feel a bit rough around the edges at times, and I found myself wishing it could feel a bit more grounded in reality sometimes, only to promptly.change my mind and realise that, actually, this all makes it that much more interesting and fun to watch.

Very fleshed-out, lived in world. The set pieces and landscapes felt almost fantastical in a way, and I loved the occasional reminders that regular life was continuing on for everybody outside of the UK. They should probably quarantine us anyway, regardless of the zombies.

I didn't realise there was going to be a second (and even third!) part to this movie, so very excited to see that when it comes out!

Oh and it's hardly surprising but Ralph Fiennes stole the show for me. His stage presence is outstanding and he's a really great actor, is all I want to add.","julia, simon, picturehouse central",2025-06-27
2025-06-30,My Neighbor Totoro,1988,https://boxd.it/a9WwFR,4,,"So nice to be reminded that there are chill movies out there, with low stakes and minimal drama. Very cute characters all round and I loved the father's relationship with his daughters.

Very heartwarming to leave the cinema and hear multiple people humming the theme! ☺️","julia, bfi southbank",2025-06-29
2025-07-01,London's Hidden Track,2025,https://boxd.it/abfYtr,5,,"A powerful reminder about the importance of stepping back from the stress of daily life and reconnecting with the nature that surrounds us. Inspired me to appreciate the moments when I get to slow down and recharge.

So proud of my girlfriend for making this 🥰",julia,2025-07-01
2025-07-13,Superman,2025,https://boxd.it/aj45BZ,3.5,,"Lex Luthor is a world-class hater in this. Every choice and action is dictated by whether it will lead him closer towards the destruction of Superman, and I'm absolutely here for it. Nicholas Hoult <i>nailed</i> it.","julia, simon, luke, vue islington",2025-07-12
