Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-01-13,Poor Things,2023,https://boxd.it/5zITWx,5,,"julia, curzon camden",2024-01-12
2024-01-14,"Dolly, Put the Kettle On",1947,https://boxd.it/5Ajfzx,,,,2024-01-13
2024-01-14,The Thing,1982,https://boxd.it/5Ajlrz,4,Yes,"bfi southbank, manu",2024-01-13
2024-01-18,2001: A Space Odyssey,1968,https://boxd.it/5CjzzF,4,,"tom, bfi imax",2024-01-17
2024-01-19,How to Blow Up a Pipeline,2022,https://boxd.it/5CXg0h,3.5,,,2024-01-18
2024-01-20,Ratatouille,2007,https://boxd.it/5DrOpb,5,Yes,julia,2024-01-19
2024-01-20,Soul,2020,https://boxd.it/5DrRDv,4.5,Yes,julia,2024-01-19
2024-01-21,Anger Management,2003,https://boxd.it/5EhhB3,3,,julia,2024-01-20
2024-01-28,Maestro,2023,https://boxd.it/5Hryul,3,,,2024-01-27
2024-01-29,Steve Jobs,2015,https://boxd.it/5HY6fj,5,Yes,,2024-01-28
2024-02-04,One Life,2023,https://boxd.it/5KPV7f,3.5,,,2024-02-03
2024-02-07,All of Us Strangers,2023,https://boxd.it/5MsS5n,4,,"picturehouse central, julia",2024-02-07
2024-02-08,Adventureland,2009,https://boxd.it/5MQWlR,2.5,,,2024-02-08
2024-02-10,Dune,2021,https://boxd.it/5NwBbv,4,Yes,bfi imax,2024-02-09
2024-02-11,Psycho,1960,https://boxd.it/5NYCeB,4,,julia,2024-02-10
2024-02-13,The Iron Claw,2023,https://boxd.it/5OYoml,4,,"curzon camden, julia",2024-02-12
2024-02-16,American Fiction,2023,https://boxd.it/5Q1vPz,3.5,,"julia, curzon mayfair",2024-02-15
2024-02-19,Memories of Murder,2003,https://boxd.it/5RriOJ,3.5,,julia,2024-02-18
2024-02-19,A Haunting in Venice,2023,https://boxd.it/5RGgo5,2.5,,,2024-02-18
2024-02-24,14 Peaks: Nothing Is Impossible,2021,https://boxd.it/5TQiql,3,,,2024-02-23
2024-03-02,Dune: Part Two,2024,https://boxd.it/5WZKKj,,,"bfi imax, manu",2024-03-01
2024-03-08,The Intern,2015,https://boxd.it/5ZO6Ix,3,,,2024-03-07
2024-03-09,Dune,2021,https://boxd.it/60rXWl,5,Yes,julia,2024-03-08
2024-03-10,Solaris,2002,https://boxd.it/60YTQp,4,,,2024-03-09
2024-03-12,The Last Repair Shop,2023,https://boxd.it/61RqPx,,,,2024-03-11
2024-03-14,Annihilation,2018,https://boxd.it/634mW5,3.5,Yes,julia,2024-03-14
2024-03-15,Dune: Part Two,2024,https://boxd.it/63ltK5,5,Yes,odeon west end,2024-03-15
2024-03-16,Paterson,2016,https://boxd.it/63IOWd,4,,julia,2024-03-15
2024-03-17,Drive-Away Dolls,2024,https://boxd.it/64eZ75,2,,"julia, curzon riverside",2024-03-16
2024-03-24,Dune: Part Two,2024,https://boxd.it/67dTTd,5,Yes,vue leicester square,2024-03-23
2024-03-28,Godzilla × Kong: The New Empire,2024,https://boxd.it/69he7j,2,,cineworld leicester square,2024-03-27
2024-03-29,Immaculate,2024,https://boxd.it/69Mlk7,3,,"manu, jordan, odeon leicester square",2024-03-29
2024-03-31,The Spider Within: A Spider-Verse Story,2023,https://boxd.it/6ayGrf,,,youtube,2024-03-30
2024-03-31,After Hours,1985,https://boxd.it/6aH3Ed,4,,nft2,2024-03-30
2024-04-06,Dark Waters,2019,https://boxd.it/6dLSRn,3.5,Yes,,2024-04-06
2024-04-12,Monkey Man,2024,https://boxd.it/6g57cv,4,,"julia, picturehouse central",2024-04-11
2024-04-15,Robot Dreams,2023,https://boxd.it/6haOyN,3.5,,"julia, plex",2024-04-14
2024-04-27,Mad Max: Fury Road,2015,https://boxd.it/6lUC5d,4.5,Yes,"julia, bfi imax",2024-04-26
2024-05-03,Civil War,2024,https://boxd.it/6oyJkH,3.5,,picturehouse central,2024-05-02
2024-05-07,Challengers,2024,https://boxd.it/6qkCXn,4.5,,"julia, odeon west end",2024-05-06
2024-05-17,Rise of the Planet of the Apes,2011,https://boxd.it/6unQ7H,3.5,Yes,disney+,2024-05-17
2024-05-19,Kingdom of the Planet of the Apes,2024,https://boxd.it/6uYEoZ,2.5,,the light redhill,2024-05-18
2024-05-22,Good Will Hunting,1997,https://boxd.it/6wh04n,4,Yes,netflix,2024-05-21
2024-05-26,Amélie,2001,https://boxd.it/6xP72F,4.5,Yes,"julia, plex",2024-05-24
2024-05-26,Furiosa: A Mad Max Saga,2024,https://boxd.it/6xP5JR,4,,"julia, odeon west end",2024-05-25
2024-05-29,Furiosa: A Mad Max Saga,2024,https://boxd.it/6z88QN,4,Yes,,2024-05-28
2024-06-05,About Time,2013,https://boxd.it/6CkVnh,4,Yes,"rooftop film, julia",2024-06-01
2024-06-05,Mulan,1998,https://boxd.it/6CkVZF,3.5,,"julia, disney+",2024-06-05
2024-06-07,La Chimera,2023,https://boxd.it/6CR7LJ,4,,"julia, curzon soho",2024-06-06
2024-06-09,Hit Man,2023,https://boxd.it/6Duk2l,3.5,,,2024-06-08
2024-06-16,The Dark Knight,2008,https://boxd.it/6Gs4S9,4.5,Yes,bfi imax,2024-06-16
2024-06-22,Reservoir Dogs,1992,https://boxd.it/6IJRVj,3,,"simon, luke, prime",2024-06-21
2024-06-23,Operation Mincemeat,2021,https://boxd.it/6JaFZR,3,,"julia, plex",2024-06-22
2024-06-24,Inside Out 2,2024,https://boxd.it/6JrBRN,3.5,,"julia, curzon camden",2024-06-23
2024-06-24,Come from Away,2021,https://boxd.it/6JDyjx,4,,"julia, apple tv",2024-06-23
2024-06-30,Braveheart,1995,https://boxd.it/6LSJIB,3.5,,"julia, disney+",2024-06-29
2024-07-03,A Quiet Place: Day One,2024,https://boxd.it/6Naoeb,3.5,,"julia, picturehouse central",2024-07-02
2024-07-22,10 Things I Hate About You,1999,https://boxd.it/6VWkcj,3.5,,"julia, disney+",2024-07-22
2024-07-23,Longlegs,2024,https://boxd.it/6WoCYV,3.5,,"julia, curzon victoria, alice, ollie",2024-07-23
2024-07-29,Twisters,2024,https://boxd.it/6YRZ9H,3.5,,"julia, vue westfield",2024-07-28
2024-08-18,Alien: Romulus,2024,https://boxd.it/77CPw3,3,,"julia, bfi imax",2024-08-17
2024-08-22,Stopmotion,2023,https://boxd.it/79NKVR,3.5,,"manu, bfi southbank, nft1",2024-08-22
2024-09-01,Blink Twice,2024,https://boxd.it/7ebGnl,3,,curzon camden,2024-08-31
2024-09-02,Aliens,1986,https://boxd.it/7eDaKj,,,disney+,2024-09-01
2024-09-04,The Nice Guys,2016,https://boxd.it/7fT1z3,4,,plex,2024-09-04
2024-09-06,Sanctuary,2022,https://boxd.it/7gtZgd,3.5,,plex,2024-09-05
2024-09-07,Where Dreams Go To Die,2017,https://boxd.it/7gQz9h,,,youtube,2024-09-06
2024-09-15,Beetlejuice Beetlejuice,2024,https://boxd.it/7kKm9x,3.5,,"julia, picturehouse central",2024-09-15
2024-09-20,The Frighteners,1996,https://boxd.it/7mUzdP,2.5,,"plex, oli, dad",2024-09-20
2024-09-22,Strange Darling,2023,https://boxd.it/7nSAEx,3,,"julia, 🇧🇪 cinema palace",2024-09-22
2024-10-03,Megalopolis,2024,https://boxd.it/7suCQH,2,,"bfi imax, simon, luke",2024-10-02
2024-10-05,Bull,2021,https://boxd.it/7tDIKH,3,,"dad, netflix",2024-10-05
2024-10-07,The Substance,2024,https://boxd.it/7ukGqr,4,,"julia, alice, ollie, picturehouse central",2024-10-06
2024-10-19,A Different Man,2024,https://boxd.it/7AmgNx,4,,curzon camden,2024-10-18
2024-10-21,Nightbitch,2024,https://boxd.it/7BkisB,2,,"julia, prince charles cinema",2024-10-20
2024-10-26,Notting Hill,1999,https://boxd.it/7DVtKj,3,,"netflix, mum, dad",2024-10-25
2024-10-28,Rebel Ridge,2024,https://boxd.it/7EOm9Z,4,,"dad, netflix",2024-10-27
2024-10-28,The Two Popes,2019,https://boxd.it/7EZkWn,3,,"netflix, mum, dad",2024-10-27
2024-10-29,The Wild Robot,2024,https://boxd.it/7FDsdP,5,,"picturehouse finsbury, julia",2024-10-28
2024-11-02,The Addams Family,1991,https://boxd.it/7HBWCz,3,,"netflix, julia, amelia",2024-11-01
2024-11-04,Hachi: A Dog's Tale,2009,https://boxd.it/7IFyFr,3,,julia,2024-11-03
2024-11-08,Juror #2,2024,https://boxd.it/7KBjVp,3,,picturehouse crouch end,2024-11-07
2024-11-10,Anora,2024,https://boxd.it/7LtuI5,4,,"julia, picturehouse finsbury",2024-11-09
2024-11-11,Official Competition,2021,https://boxd.it/7Mln33,3,,"dad, plex",2024-11-10
2024-11-12,A Man Called Otto,2022,https://boxd.it/7MVOPF,3.5,,"netflix, mum, dad",2024-11-11
2024-11-28,Wicked,2024,https://boxd.it/7V50fp,3,,"julia, vue leicester square",2024-11-28
2024-12-01,Conclave,2024,https://boxd.it/7Wfxq5,3.5,,"julia, picturehouse ealing",2024-11-30
2024-12-02,The Wild Robot,2024,https://boxd.it/7WWxSz,,Yes,"julia, alice, ollie, apple tv",2024-12-01
2024-12-07,(500) Days of Summer,2009,https://boxd.it/7Zel9h,4,,"julia, disney+",2024-12-06
2024-12-08,Chef,2014,https://boxd.it/7ZNyQt,4,Yes,"mum, dad, netflix",2024-12-07
2024-12-13,Bridget Jones's Diary,2001,https://boxd.it/82fc7F,3,,netflix,2024-12-12
2024-12-19,Elf,2003,https://boxd.it/85u6I3,3.5,,julia,2024-12-15
2024-12-18,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/855Yer,2.5,,"bfi imax, oli",2024-12-17
2024-12-23,The Wrong Trousers,1993,https://boxd.it/87LZ0n,5,,"julia, oli",2024-12-22
2024-12-24,The Holdovers,2023,https://boxd.it/890PGH,4,Yes,"plex, julia, dad, mum, oli",2024-12-22
2024-12-24,Carry-On,2024,https://boxd.it/88GDaT,2.5,,"netflix, dad, mum",2024-12-23
2024-12-25,Little Women,2019,https://boxd.it/89KQrl,4.5,,"dad, mum, oli",2024-12-25
2024-12-26,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/8a2zbV,4,,"dad, mum, oli",2024-12-25
2024-12-27,Roald Dahl's Matilda the Musical,2022,https://boxd.it/8b32St,3.5,,"mum, dad",2024-12-26
